Zip.Code,Out_Out_Duration
22031,0 days 04:50:41
23225,0 days 03:50:53
34110,111 days 07:29:46
53502,0 days 00:13:52
53503,0 days 00:05:47
53507,2 days 16:28:57
53515,471 days 20:28:55
53522,0 days 02:03:29
53527,471 days 20:29:47.500000
53528,236 days 00:07:17.250000
53529,0 days 00:27:12
53531,449 days 04:26:17
53532,0 days 08:07:33
53536,0 days 00:05:09
53538,0 days 01:03:14
53548,471 days 20:29:15
53551,0 days 10:36:13
53555,471 days 20:30:04
53558,315 days 12:19:16.166666668
53562,241 days 18:07:12.416666668
53563,0 days 03:21:42
53565,236 days 03:46:20.500000
53570,471 days 20:30:01
53572,0 days 00:05:04
53574,236 days 02:42:22.500000
53575,0 days 08:10:37.333333333
53587,210 days 21:41:07
53589,192 days 03:49:08.615384616
53590,188 days 00:42:38.384615384
53593,492 days 20:24:09.736842104
53597,95 days 06:00:03.200000
53632,29 days 05:48:26
53703,174 days 08:29:42.625000
53704,106 days 16:09:38.200000
53705,55 days 15:38:24.750000
53711,213 days 23:42:58.130434784
53713,471 days 20:29:20
53714,162 days 11:01:53.666666666
53715,0 days 06:42:43
53716,236 days 00:04:51.600000
53717,118 days 02:01:14.750000
53718,81 days 16:12:07.166666667
53719,94 days 09:35:49
53805,0 days 01:53:09
53913,0 days 00:05:17
53959,0 days 01:59:42
55104,0 days 00:13:55
