,Zip.Code,Avg.email.link clicks
0,53538,1.0
1,53578,1.3333333333333333
2,53558,1.6666666666666667
3,53527,2.6666666666666665
4,53529,1.0
5,53561,0.0
6,53715,0.0
7,53711,1.1515151515151516
8,77406,0.0
9,92118,0.0
10,53523,1.6666666666666667
11,53719,1.3571428571428572
12,77407,1.0
13,53508,1.0
14,53703,1.1818181818181819
15,53705,1.0
16,60646,0.0
17,30308,0.0
18,34110,0.0
19,53589,1.0
20,53701,0.0
21,53188,0.0
22,53528,1.0
23,53037,1.0
24,53726,0.0
25,22031,1.0
26,54501,1.0
27,53593,1.0
28,54115,0.0
29,53227,0.0
30,53014,0.0
31,53704,1.0
32,55423,0.0
33,53717,1.2857142857142858
34,53965,0.0
35,53072,0.0
36,53716,1.25
37,53718,2.0
38,53555,0.0
39,53572,1.0
40,53597,1.0
41,53713,1.0
42,61021,0.0
43,53590,1.0
44,53546,1.0
45,53575,1.5
46,53066,1.0
47,53562,1.0
48,53574,1.0
49,53140,0.0
50,53154,1.0
51,20012,0.0
52,53794,0.0
53,15216,0.0
54,43235,0.0
55,54956,1.0
56,34747,0.0
57,45277,0.0
58,53532,1.3333333333333333
59,53520,0.0
60,53959,1.0
61,53714,1.625
62,53551,1.0
63,46204,0.0
64,91942,0.0
65,53219,0.0
66,53916,0.0
67,53901,1.0
68,53583,0.0
69,53132,0.0
70,38117,0.0
71,53228,0.0
72,53092,0.0
73,55104,1.0
74,53517,1.0
75,53186,0.0
76,53051,1.0
77,53925,1.0
78,53559,1.0
79,22206,0.0
80,53190,1.0
81,53545,0.0
82,53820,0.0
83,53727,0.0
84,53964,0.0
85,53511,1.0
86,53811,0.0
87,53531,1.0
88,53581,0.0
89,53913,1.0
90,10579,0.0
91,53632,1.0
92,18020,0.0
93,12590,0.0
94,10567,0.0
95,53536,1.0
96,33436,0.0
97,55076,0.0
98,10541,0.0
99,81004,0.0
100,53818,0.0
101,53522,1.0
102,53503,0.0
103,53563,1.0
104,55369,1.0
105,55407,1.0
106,53548,0.0
107,53941,0.0
108,60586,0.0
109,53565,1.0
110,63303,1.0
111,53209,0.0
112,53949,1.0
113,53549,0.0
114,53534,0.0
115,53954,0.0
116,53050,0.0
117,53533,1.0
118,53587,0.0
119,54937,0.0
120,53948,0.0
121,53502,1.0
122,53968,0.0
123,53535,0.0
124,53570,1.0
125,10598,0.0
126,53588,1.0
127,53560,0.0
128,53956,0.0
129,53963,0.0
130,53566,0.0
131,53940,0.0
132,53115,0.0
133,53594,0.0
134,53728,0.0
135,53537,0.0
136,53554,0.0
137,53805,1.0
138,53576,0.0
139,53646,0.0
140,54634,0.0
141,53515,0.0
142,53507,1.0
143,54618,0.0
144,53920,0.0
145,53598,1.0
146,53521,0.0
147,53634,0.0
148,53809,1.0
149,53725,0.0
150,54982,0.0
151,53955,0.0
152,53707,0.0
153,60148,0.0
154,53147,0.0
155,53202,0.0
156,51573,0.0
157,53516,0.0
158,53556,1.0
159,us535,0.0
160,53094,0.0
161,53530,0.0
162,61089,0.0
163,53073,0.0
164,60093,0.0
165,53775,0.0
166,53930,0.0
167,53569,0.0
168,53932,0.0
169,53032,0.0
170,54548,0.0
171,60660,0.0
172,53806,0.0
173,53911,0.0
174,50401,0.0
175,53595,1.0
176,85338,0.0
177,53813,0.0
178,53689,1.0
179,53803,0.0
180,53211,0.0
181,53289,0.0
182,53998,0.0
183,53804,0.0
184,53952,0.0
185,54637,0.0
186,54646,0.0
187,53557,0.0
188,53524,0.0
189,53183,0.0
190,85629,0.0
191,4,0.0
192,54943,0.0
193,52593,0.0
194,07901,0.0
195,53950,0.0
196,63537,1.0
197,53603,0.0
198,54313,0.0
199,53586,0.0
200,33149,0.0
201,54664,0.0
202,53960,0.0
203,53744,0.0
204,55304,0.0
205,85048,0.0
206,02128,0.0
207,95116,0.0
208,60480,0.0
209,54942,0.0
210,78758,0.0
211,53571,0.0
212,10021,0.0
213,54703,0.0
214,53722,0.0
215,54801,0.0
216,01801,0.0
217,23225,1.0
218,53577,0.0
219,53039,0.0
220,37415,0.0
221,53736,0.0
222,63726,0.0
223,63705,3.0
224,81631,0.0
225,53018,0.0
226,53923,0.0
227,55112,0.0
228,53582,0.0
229,537a,0.0
230,53038,0.0
231,32931,0.0
232,53391,0.0
233,53547,0.0
234,53579,0.0
235,53090,0.0
236,53827,0.0
237,53504,0.0
238,53456,0.0
239,94941,0.0
240,53690,0.0
241,53217,0.0
242,54590,0.0
243,53592,0.0
244,53541,0.0
245,30008,0.0
246,53708,0.0
247,54705,0.0
248,70124,0.0
249,53816,0.0
250,80221,0.0
251,60516,0.0
252,53505,0.0
253,53232,0.0
254,98112,0.0
